repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
rpa-sulamerica-healthcare-authorization,main,yes,yes,no,"feat/XIPP-16569;feat/XIPP-17646;main;prd;stg","PRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-bradesco-healthcare-authorization,stg,no,yes,no,"feat/XIPP-16475;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-porto-saude-invoice,prd,yes,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-17646;feat/XIPP-17822;feat/xipp-14784;feature/XIPP-14958;feature/XIPP-15168;fix/competency;fix/xipp-14806;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-hapvida-coparticipation,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-16701;feat/XIPP-16983;feat/XIPP-18192;fix/XIPP-16111;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
canalprotegido-frontend,main,yes,yes,yes,"bugfix/XIPP-9350;bugfix/XIPP-9439;bugfix/XIPP-10503;docs/XIPP-13713;feat/XIPP-11197;feat/XIPP-12150;feat/XIPP-12156;feat/XIPP-12160;feat/XIPP-12367;feat/XIPP-12387;feat/XIPP-13128;feat/XIPP-13141;feat/XIPP-13142;feat/XIPP-13148;feat/XIPP-13183;feat/XIPP-13186;feat/XIPP-13268;feat/XIPP-13352;feat/XIPP-13354;feat/XIPP-13383;feat/XIPP-13409;feat/XIPP-13417;feat/XIPP-13439;feat/XIPP-13440;feat/XIPP-13463;feat/XIPP-13464;feat/XIPP-13472;feat/XIPP-13478;feat/XIPP-13489;feat/XIPP-13511","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
pharma,development,yes,yes,yes,"14-00.03;120424;AV-759;AV-760;AV-761;AV-765;AV-766;AV-785;AV-824;AV-839;AV-846;AV-1041;AVF-192;AVF-201.1;AVF-205;AVF-206;AVF-207;AVF-215;AVF-255;AVF-276;AVF-277;AVF-278;AVF-280;AVF-283;AVF-311;AVF-312;AVF-468;AVF-469;AVF-470;AVF-471","",NAO_CONFORME,80,CRITICAL,"default_branch_nao_main;branch_master_existe;nao_conforme;"
rpa-operation-odontoprev-invoice-coparticipation,dev,yes,yes,no,"dev;devin/1772722679-fix-rpa-bugs-and-refactor;devin/1772727958-inline-ticket-error-handling;feat/XIPP-15008;feat/XIPP-15173;feat/XIPP-15908;feat/XIPP-16451;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17815-stg;feat/XIPP-17815;feat/XIPP-17915;feat/XIPP-18403;feature/XIPP-16141;main;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-hapvida-invoice,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15167;feat/XIPP-16250;feat/XIPP-16701;feat/XIPP-16983;feat/XIPP-17646;feat/XIPP-17821;fix/XIPP-16111;fix/adicao-config;fix/ajuste-config;fix/refactor-rpa-invoice;fix-pipeline;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-commons,main,yes,yes,no,"bugfix/XIPP-14798;feat/XIPP-16701;feat/XIPP-17183;feat/XIPP-17646;feat/XIPP-17815;feat/XIPP-correcao_erro;feat/xipp-14004;feature/XIPP-13537;feature/XIPP-14958;feature/XIPP-15169;feature/XIPP-15172;feature/XIPP-15505;feature/XIPP-16094;feature/XIPP-16123;feature/XIPP-16701;feature/XIPP-documentos-azure-table;feature/log_portais_acessos;feature/1752865545-github-actions-versioning;fix/XIPP-16111;fix/get_contract_porto;fix/xipp-14809;hotfix/XIPP-14790;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-omint-invoice-coparticipation,dev,no,yes,no,"dev;feat/XIPP-16326;feat/XIPP-17646;feat/XIPP-17807_PRD;feat/XIPP-17807;feat/XIPP-17817-stg;feat/XIPP-17817;feat/XIPP-18119;feat/XIPP-18232;feat/XIPP-18400;feature/XIPP-13537;feature/XIPP-15172;feature/XIPP-16094;feature/XIPP-16123;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-sulamerica-invoice,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15165;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17824;fix/XIPP-16111;hotfix/XIPP-14790;prd_with_stg;prd;snyk-fix-02c8c3166f09ccb6729110dcc4dc5994;snyk-fix-2d166460e06538b51b8b19c85f5bb9d6;snyk-fix-11a062c89a58f8ea9517a3537af476c2;snyk-fix-21d0e9fd42813fa547fbf70f02d3d6e5;snyk-fix-75336c7f11fa90f4efd3b827355c0b6d;snyk-fix-839242f85acb5507e8d66590059f6571;snyk-fix-a0ee46c4d0f9a51b4f23b40d2cd10c8d;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-sulamerica-coparticipation,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-17824;hotfix/XIPP-14790;prd;snyk-fix-786308668752274e3da84f30edac40fd;snyk-fix-2d166460e06538b51b8b19c85f5bb9d6;snyk-fix-4ed22516fba46ed6207e18eb154e85cc;snyk-fix-7bd49e653c3f0ef742262d4f01b21f58;snyk-fix-41cb43f1b85b75aaa8e8febe13ec0347;snyk-fix-45799d5c9f8d08b9baf9c7f9a340a5dd;snyk-fix-a0ee46c4d0f9a51b4f23b40d2cd10c8d;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-bradesco-webtran-daily,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-14265;feat/XIPP-14506;feat/XIPP-14607;feat/XIPP-18022;feat/xipp-15116;feature/XIPP-15116-stg;fix/XIPP-15111;hotfix/XIPP-14790;hotfix_folder_name;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-metlife-invoice,dev,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17814;feat/XIPP-18401;feature/XIPP-13165-metlife-rpa-implementation;feature/XIPP-15169;feature/xipp-14004;fix/xipp-14809;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
sdi-bff-service,main,yes,yes,no,"chore/XIPP-18104;develop;feat/XIPP-16162;feat/XIPP-16647-develop;feat/XIPP-16647;feat/XIPP-17767;feat/pipeline-uat;feature/XIPP-16646;main;pacote-mapa-v2.76.0;preprod;release/v2.76.0;release/v2.76.1;release/v2.77.0;stage;uat","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
euprotegido-frontend,master,no,yes,no,"develop;feat/XIPP-13426-develop;feat/XIPP-13426-stage;feat/XIPP-13426;feat/XIPP-16644-dev;feat/XIPP-16644-stg;feat/XIPP-16644;feat/XIPP-16730;feat/XIPP-17936;feat/adjust-meta;fix/XIPP-18347;master;new-origin/master;origin/XIPP-172;origin/XIPP-243;origin/devops;origin/feature/XIPP-182;origin/feature/XIPP-924;origin/feature/XIPP-980;origin/feature/fix-assessment;origin/feature/fix-google-address;origin/feature/fix-telemedicine;origin/feature/xipp-179;origin/fix-build3;origin/heroku-update;origin/hotfix/2.0.7.2;origin/hotfix/2.0.7.3;origin/hotfix/2.0.7.4;origin/hotfix/2.0.7.5;origin/hotfix/2.0.7.6","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-seguros-unimed-invoice-coparticipation,prd,no,yes,no,"bugfix/XIPP-14798;detached;dev;feat/XIPP-13703;feat/XIPP-15451;feat/XIPP-17823;feat/XIPP-18118;feature/XIPP-13703-devin;feature/XIPP-13703;fix/XIPP-15451;hotfix/XIPP-14790-black-fix;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-bradesco-portal-corretor-invoice,prd,yes,yes,no,"dev;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17820;feature/XIPP-12824;feature/XIPP-15166;feature/integrate-rpa-commons;fix/xipp-14803;hotfix/2.67.0;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-bradesco-webtran-monthly,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-14265;feat/XIPP-15614;feat/XIPP-18022;fix/XIPP-16111;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
config-xipp,main,yes,yes,no,"ROTINAS-develop;bugfix/XIPP-7707_develop;bugfix/XIPP-7707_stage;bugfix/XIPP-7707;bugfix/XIPP-13496;chore/XIPP-12283;chore/XIPP-15679;chore/java-upgrade;develop;devin/1746544720-update-security-service-config;epic/XIPP-2671-PREPROD;epic/XIPP-2671;epic/XIPP-11239-develop;epic/XIPP-11239-stage;epic/XIPP-11239;epic-2671-stg;feat/XIPP-12331-dev;feat/XIPP-12331-preprod;feat/XIPP-12331-stg;feat/XIPP-12331;feat/XIPP-13106;feat/XIPP-13583;feat/XIPP-14438-preprod;feat/XIPP-14438-stage;feat/XIPP-14438;feat/XIPP-16162;feat/XIPP-16627-uat;feat/XIPP-16646-develop;feat/XIPP-16646;feat/XIPP-16647","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
avus-integration-service,main,yes,yes,no,"develop;feat/XIPP-18058;feature/XIPP-13510;main;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
engenere-addons,17.0-mig,no,yes,no,"17.0-mig;18.0","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
registry-xipp,main,yes,yes,yes,"chore/XIPP-12333;chore/XIPP-18104;chore/1759968282-java-upgrade;develop_upgrade_java;develop;feat/XIPP-13583;feature/AV-1509;feature/XIPP-9851;java_memory_heap;main;main-avus;preprod;refact/upgrade-java_stage;refact/upgrade-java;stage_old;stage;uat","DEV;STG",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
gateway-xipp,main,yes,yes,no,"chore/XIPP-12347;chore/XIPP-18104;chore/1759968280-java-upgrade;develop;epic/XIPP-2671;epic-2671-stg;feat/XIPP-13106;feat/XIPP-13583;feature/AV-1509;feature/MOVEMENT-V1;feature/XIPP-9851;feature/XIPP-10507;fix/swagger-insurance-carrier-api;fix/swagger-insurance-carrier-api-develop;fix/swagger-insurance-carrier-api-stage;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;refact/upgrade=java;release/v2.73.0;stage;uat;vinicius-santos-xipptech-patch-1","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-cnu-healthcare-authorization,main,yes,yes,no,"feat/XIPP-16867;main;prd;stg","PRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
maioridade-worker,main,yes,yes,no,"develop;epic/XIPP-2671;feat/XIPP-13400;feat/XIPP-14087;feat/XIPP-16162;feat/XIPP-18058;fix/XIPP-14684;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.76.0;stage;uat","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
movement-service,main,yes,yes,no,"feat/XIPP-18058;feature/init-swagger;main;snyk-fix-8c489f344e89c76791c471d3daaf7030;snyk-upgrade-2dc4c52efdbcc823857d653a521b4ed0;snyk-upgrade-55d0937487b346880f17dea2bfa45924;snyk-upgrade-59667ac127f2ea231a77b0cfcaffae6e;snyk-upgrade-a37867a35608ddcb3a445c86a737342c;snyk-upgrade-e043739726917600723a575624b4f96d;snyk-upgrade-ecafcbff93d3a431805bacdbbc56fbf0","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
bff-servicos,main,yes,yes,yes,"develop;epic/XIPP-2671;feat/XIPP-13400;feat/XIPP-13515;feat/XIPP-13682;feat/XIPP-14085;feat/XIPP-14087;feat/XIPP-16162;feat/XIPP-18058;feature/XIPP-16270;fix/XIPP-14684;fix/XIPP-16187;main;preprod;release/v2.74.1;release/v2.75.0;release/2.71.0;revert-48-feat/XIPP-14087;revert-49-revert-48-feat/XIPP-14087;stage;uat","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
rpa-operation-amil-invoice,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15164;feat/XIPP-16701;feat/XIPP-17372;feat/XIPP-17646;feat/XIPP-17819;feature/XIPP-1756933074-playwright-login;fix/XIPP-15541;hotfix/XIPP-14790;hotfix/XIPP-15001;hotfix_02_10;prd;snyk-fix-4c641aa18fb5d13cde2022548d24893f;snyk-fix-5fc54d884e9be70ff4b419722a8d7d6e;snyk-fix-16bd033d6bfeae5bd1965f8d4dc41583;snyk-fix-41cb43f1b85b75aaa8e8febe13ec0347;snyk-fix-0461a16e2ce5def8d87fb1b763d216c1;snyk-fix-647e2b1e235462e97329219dbc89938d;snyk-fix-75336c7f11fa90f4efd3b827355c0b6d;snyk-fix-a0ee46c4d0f9a51b4f23b40d2cd10c8d;snyk-fix-dfb48646fe26968df86d8e5ce517c48f;snyk-fix-f70f9e79516602f3323eb774b6ca96f4;snyk-fix-ff76eb5b0b2253408bcf051355931d26;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-amil-movement-insurance-return,prd,no,yes,no,"feat/XIPP-16827;feat/XIPP-17239;feat/XIPP-17646;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
drive-fronted,main,yes,yes,no,"develop;epic/XIPP-8753-dev;epic/XIPP-8753-stage;epic/XIPP-8753;feat/XIPP-13426;feat/XIPP-16641;feat/XIPP-16730;feat/XIPP-17808;feature/XIPP-11053;feature/XIPP-13726-stg;feature/XIPP-13726;fix/XIPP-12612;fix/XIPP-14618-dev;fix/XIPP-14618-pre;fix/XIPP-14618-stg;fix/XIPP-14618;fix/XIPP-17377-dev;fix/XIPP-17377-stg;fix/XIPP-17377;main;master;origin/bugfix/download;origin/drive-integracao;origin/hotfix/1.2.1.1;origin/master;origin/master-odoo;origin/release/1.1.2;origin/release/1.1.3;origin/release/1.1.4;origin/release/1.1.5","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-omint-cadastral-position,dev,no,yes,no,"dev;feat/XIPP-17646;feat/XIPP-17807;feature/XIPP-13537;feature/XIPP-15172;feature/XIPP-16094;feature/XIPP-16123;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
code-review-instructions,main,yes,yes,no,"feat/XIPP-16411;feat/XIPP-16730;feature/XIPP-16270;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-fesp-cadastral-position,dev,no,yes,no,"dev;feat/XIPP-15880;feat/XIPP-16701;feat/XIPP-17646;fix_limpeza_email;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-odontoprev-cadastral-position,dev,yes,yes,no,"dev;feat/XIPP-15010;feat/XIPP-15891;feat/XIPP-16701;feat/XIPP-17646;main;prd;preprd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-amil-healthcare-authorization,stg,no,yes,no,"feat/XIPP-17118;prd;stg","PRD;STG;STG_NEW",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-movement-amil,main,yes,yes,no,"16203;feat/XIPP-15377;feat/XIPP-16203;feat/XIPP-17060;feat/XIPP-17180;feat/XIPP-17243;feature/XIPP-16111;fix_exception_log;main;prd;stg;tratamento-retorno-status-PENDENTE","PRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-financial-porto,prd,no,yes,no,"dev;feat/XIPP-16226;feat/xipp-13285;hotfix/XIPP-14790;hotfix/XIPP-15006;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
chatbot-proxy,main,yes,yes,no,"develop;feat/XIPP-16162;main_old;main;preprod;release/v2.74.1;release/v2.75.0;stage;uat","DEV;PRD;PREPROD;STG;UAT",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
server-addons,14.0,no,yes,no,"12.0-add-base_automation_outgoing_webhook;12.0;14.0-add-base_ir_binary;14.0;18.0","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
enterprise,18.0,no,yes,no,"9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0-ren-website-manifest-jke;18.0;master;saas-6;saas-7;saas-8;saas-9;saas-10;saas-11;saas-11.1;saas-11.2;saas-11.3;saas-11.4;saas-11.5;saas-12;saas-12.1;saas-12.2;saas-12.3;saas-12.4;saas-12.5;saas-13","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
platform-backend-deploy,main,yes,yes,yes,"develop;feat/XIPP-17200;main;preprod;stage;uat","Development;PreProd;Production;Stage;UAT",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
rpa-operation-cnu-cadastral-position,main,yes,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-16701;feature/XIPP-12756;feature/XIPP-16103;feature/XIPP-16123;fix/XIPP-16111;fix/xipp-14808;hotfix/XIPP-14790;main;prd_with_stg;prd;stg","PRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
odoo-store-addons,14.0-main,no,yes,no,"14.0-main;14.0-uat;story/XIPP-16412","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
nifi-iac,prd,no,yes,no,"ctrl;dev;feat/XIPP-17283;prd;preprd;snyk-fix-017fc523d0f3d36fc7d20296ecec707c;snyk-fix-36ff5b80fcdf326791100e137b266786;snyk-fix-e3a7eafc3c8ec0c0b8276ba405ac083e;stg;task/XIPP-12103;uat;vinicius-santos-xipptech-patch-1","CTRL;DEV;PRD;PREPRD;STG;UAT",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
nifi-custom-processor-authenticate-avus,main,yes,yes,no,"main;vinicius-santos-xipptech-patch-1","DEV;PRD;PREPRD;STG;UAT",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
app-manager,main,yes,yes,yes,"develop;feat/XIPP-10803;feat/XIPP-10829;feat/XIPP-10832;feat/XIPP-10853;feat/XIPP-11162;feat/XIPP-11166;feat/XIPP-12153;feat/XIPP-12369;feat/XIPP-12494;feat/XIPP-12532;feat/XIPP-13855;feat/XIPP-13889;feat/XIPP-13890;feat/XIPP-13899;feat/XIPP-13944;feat/XIPP-13958-dev;feat/XIPP-13958;feat/XIPP-14001;feat/XIPP-14002;feat/XIPP-14186;feat/XIPP-14187;feat/XIPP-14254;feat/XIPP-14297;feat/XIPP-15415;feat/XIPP-15476;feat/XIPP-15909;feat/XIPP-16560;feat/XIPP-16645-dev;feat/XIPP-16645-stg","Develop;Production",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
flutter-commons-widgets,main,yes,yes,no,"feat/AV-2541;feat/AV-2544;feat/AV-2577;feat/AV-2923;feat/RTH-2854;feat/RTH-3310;feat/RTH-3322;feat/RTH-3337;feat/RTH-3339;feat/RTH-3353;feat/RTH-3355;feat/RTH-3362;feat/RTH-3366;feat/RTH-3376;feat/XIPP-10853;feat/XIPP-11166;feat/XIPP-11189;feat/XIPP-11259;feat/XIPP-12475;feat/XIPP-12518;feat/XIPP-12532;feat/XIPP-12553;feat/XIPP-12638;feat/XIPP-13472;feat/XIPP-13858;feat/XIPP-13861;feat/XIPP-13889;feat/XIPP-13890;feat/XIPP-13899;feat/XIPP-13931","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
driveconfig-frontend,main,yes,yes,no,"develop;feat/XIPP-13426;feat/XIPP-16730;feat/XIPP-16766;main;master;origin/devops;origin/feature/AR-31;origin/hotfix/1.3.1.1;origin/master;origin/release/1.2.0;origin/release/1.3.0;origin/release/1.3.1;origin/release/1.3.2;origin/release/1.3.3;origin/release/1.3.4;origin/release/1.3.5;pacote-release1.6.0;preprod;snyk-fix-0e86c537ce61e0d206d02568af2185b3;snyk-fix-475c9e6c2ef1a4c0596909063a924d65;snyk-fix-dee95ffe2632d5bee43358cf5ff1030a;spike/XIPP-13980-vue2;stage;uat","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
insurancepricing-frontend,main,yes,yes,no,"1.5.30;1.5.42;HEAD;bugfix/XIPP-9138;bugfix/XIPP-10690;bugfix-2.0.55.1;cotador-refazer-cotacao;cotador-salesforce;develop;devops;feat/XIPP-13426;feat/XIPP-14299;feat/XIPP-14363;feat/XIPP-15697;feat/XIPP-16643-dev;feat/XIPP-16643-stg;feat/XIPP-16643;feat/XIPP-16730;feature/AR-31;feature/BE-523;feature/FI-420;feature/SDI-107;feature/XIPP-1382;feature/XIPP-8304;feature/XIPP-9282;feature/XIPP-12244;feature/cot-48;feature/package-adjust;feature/xipp-4971;feature/xipp-5686","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-sulamerica-cadastral-position,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15115;feat/XIPP-16701;fix/XIPP-15111;hotfix/XIPP-14790;prd;snyk-fix-2d166460e06538b51b8b19c85f5bb9d6;snyk-fix-16b0eb2fccb9e0c97efa4a00a3f28873;snyk-fix-21d0e9fd42813fa547fbf70f02d3d6e5;snyk-fix-36b17b400431b3c79a15174d8cc03bef;snyk-fix-431f203892222388ed85a5da8c263181;snyk-fix-839242f85acb5507e8d66590059f6571;snyk-fix-fafba1fcc20e8da761e7b42f1e2f05af;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-seguros-unimed-cadastral-position,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-13862;feat/XIPP-15121;feat/XIPP-16701;fix/XIPP-15111;hotfix/XIPP-14790-black-fix;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-hapvida-cadastral-position,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15114;feat/XIPP-16701;fix/XIPP-15111;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-operation-amil-cadastral-position,prd,no,yes,no,"XIIP-15123;bugfix/XIPP-14798;bugfix/XIPP-16111;dev;feat/XIPP-14317;feat/XIPP-14423;feat/XIPP-16111;feat/XIPP-16701;feature/XIPP-13643;feature/XIPP-14588;feature/XIPP-1756933074-playwright-login;fix_conflito_prd;fix_lint_stg;hotfix/XIPP-14790_dev;hotfix/XIPP-14790_uat;hotfix/XIPP-14790;hotfix/XIPP-15001;prd;snyk-fix-4c641aa18fb5d13cde2022548d24893f;snyk-fix-4f5ad7fb9da93002739f983d65ccd124;snyk-fix-21d0e9fd42813fa547fbf70f02d3d6e5;snyk-fix-229cd1b09484ebcb57938b3bfbe90339;snyk-fix-b92525cd3673623173520c590e1597d6;snyk-fix-e3dbf57bacfde282388810ed442953fd;stg;uat","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
prometheus,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
account-frontend,main,yes,yes,no,"develop;diegooliveiraf-patch-1;feat/XIPP-12226-develop;feat/XIPP-12226-stage;feat/XIPP-12226;feat/XIPP-13426;feat/XIPP-16730;feature/XIPP-8232;feature/XIPP-9501;fix/XIPP-13308;fix/XIPP-13767;function/XIPP-9068;main;master;origin/bugfix/XIPP-5087;origin/devops;origin/feature/AC69;origin/feature/AC-75;origin/feature/AR-31;origin/feature/XIPP-4881;origin/feature/XIPP-5881;origin/hotfix/1.9.3.2;origin/master;origin/master-odoo;origin/release/1.3.3;origin/release/1.3.4;origin/release/1.4.0;origin/release/1.4.1;origin/release/1.5.0;origin/release/1.7.0","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
migration-code-review-instructions,feat/XIPP-16565-postgresql-migration-review-prompt,yes,yes,no,"feat/XIPP-16565-postgresql-migration-review-prompt;main","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-iac,prd,no,yes,no,"dev;feat/change-instance-type;prd;snyk-fix-017fc523d0f3d36fc7d20296ecec707c;stg","DEV;PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-move-import,17.0-mig,no,yes,no,"17.0-mig;17.0;18.0","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
nifi-sinistro-groovy-scripts,main,yes,yes,no,"feature/XIPP-16323;fix/XIPP-16425;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rules-validation-core,main,yes,yes,no,"chore/XIPP-15518;develop;hotfix_arquivos_nao_deletados;main;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-financial-sulamerica,prd,no,yes,no,"dev;hotfix/XIPP-14790;prd;snyk-fix-786308668752274e3da84f30edac40fd;snyk-fix-031c19baa04ab853056fb57ccab51cff;snyk-fix-534f24a29e3cb81cb56ae80d38da624f;snyk-fix-c05f99cc1e947a2b9a6fd93da1ab6ef7;snyk-fix-edfe37f504b6e30ba18a50226249543c;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
