repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
analytics-service,main,yes,yes,no,"chore/XIPP-12673;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12331;feat/XIPP-13583;feat/XIPP-16162;feat/XIPP-18058;feature/XIPP-9670;feature/XIPP-9851;fix/XIPP-14469;fix/develop_merge_main;fix/stage_merge_main;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;release/v2.74.1;release/v2.75.0;stage_old;stage;uat","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
healthcare-service,main,yes,yes,no,"aaa;bugfix/XIPP-8260;bugfix/XIPP-8738;bugfix/XIPP-9037;bugfix/XIPP-9195;bugfix/XIPP-12633;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12685;feat/XIPP-13418;feat/XIPP-13583;feat/XIPP-16162;feat/XIPP-18058;feature/XIPP-8503;feature/XIPP-9670;feature/XIPP-9851;feature/XIPP-security-bola-fix;fix/XIPP-14469;fix/develop_merge_main;fix/stage_merge_main;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
insurancepricing-service,main,yes,yes,yes,"bug/XIPP-17217;bugfix/XIPP-9976;bugfix/XIPP-11196;bugfix/XIPP-12849;bugfix/XIPP-14600;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop_with_main;develop;epic/XIPP-11239-develop;epic/XIPP-11239-stage;epic/XIPP-11239;feat/XIPP-13583;feat/XIPP-14470;feat/XIPP-14716;feat/XIPP-14872;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18251;feat/main_to_develop;feature/XIPP-9282;feature/XIPP-9366;feature/XIPP-9851;feature/XIPP-9886;feature/XIPP-12675-no-commons;feature/XIPP-12675;feature/cotador;java_memory_heap","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
xipp-aggregator,main,yes,yes,no,"demo;main;preprod;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
px-app,main,yes,yes,no,"feat/XIPP-19244;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
financial-service,main,yes,yes,no,"chore/XIPP-18419;dev/test;develop;feat/XIPP-12268;feat/XIPP-16162;feat/XIPP-18058;feat/xipp-12089;feature/XIPP-16270;fix/remove-key-vault-credentials;main;stage;test/elastic","DEV;PRD;PREPRD;STG;UAT",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
movement-api,main,yes,yes,no,"actions_cache_changed_to_v4;bugfix/XIPP-15595;bugfix/XIPP-15944;develop_temp;develop;epic/XIPP-2671;feat/XIPP-12197_dev;feat/XIPP-12197;feat/XIPP-13546;feat/XIPP-16037;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18495;feat/XIPP-18576;feat/XIPP-19215;feature/MOVEMENT-V1;feature/MOVEMENT-V2;feature/XIPP-10478;feature/XIPP-10734;feature/XIPP-11550_unit_tests;feature/XIPP-12542;feature/XIPP-12543;feature/XIPP-12559;feature/XIPP-12561;feature/XIPP-12562;feature/XIPP-12644;feature/XIPP-12737;feature/XIPP-13880;feature/XIPP-15530;feature/XIPP-15883","develop",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rhprotegido-frontend,main,yes,yes,yes,"IT/XIPP-12364;IT/XIPP-12420;IT/XIPP-12508;IT/XIPP-12533;IT/XIPP-12597;RH-2.10.13;bugfix/XIPP-8280;bugfix/XIPP-9913;bugfix/XIPP-16858;bugfix/XIPP-17026-develop;bugfix/XIPP-17026;bugfix/XIPP-18053;bugfix/XIPP-18098;develop;epic/XIPP-7711;epic/XIPP-8753-dev;epic/XIPP-8753-stg;epic/XIPP-8753;feat/XIPP-8269-main;feat/XIPP-11023;feat/XIPP-11036;feat/XIPP-11040;feat/XIPP-11053;feat/XIPP-11081;feat/XIPP-11110;feat/XIPP-11113;feat/XIPP-12388;feat/XIPP-12904;feat/XIPP-12910;feat/XIPP-12974","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
xipp-charts,main,yes,yes,no,"gh-pages;main","github-pages",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
k8s-odoo-operator,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
code-generator-service,main,yes,yes,no,"bugfix/XIPP-8398;chore/XIPP-13370;chore/XIPP-19341;develop;feat/XIPP-13370-dev;feat/XIPP-13370;feature/XIPP-9851;feature/XIPP-12197;feature/XIPP-12602;feature/XIPP-16270;fix-pom;main;main-avus;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-flow-repo,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
website,18.0,no,yes,no,"8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
