repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance
sdi-service,main,yes,yes,yes,"EPIC_XIPP-10268;Pacote_XIPP-7608;Pacote_XIPP-9712-dev;Pacote_XIPP-9712-stg;Pacote_XIPP-9712_develop;Pacote_XIPP-9712_stg;Pacote_XIPP-9712;VERSAO_2_52_0;XIPP-2.45;XIPP-13041;ajuste_merge;bugfix/XIPP-7707_develop;bugfix/XIPP-7707_stage;bugfix/XIPP-7707;bugfix/XIPP-8055_stage;bugfix/XIPP-8055;bugfix/XIPP-8065_dev;bugfix/XIPP-8065_stage;bugfix/XIPP-8065;bugfix/XIPP-8076_develop;bugfix/XIPP-8076_stg;bugfix/XIPP-8076;bugfix/XIPP-8122;bugfix/XIPP-8161;bugfix/XIPP-8309;bugfix/XIPP-8357;bugfix/XIPP-8369_dev;bugfix/XIPP-8369_stg;bugfix/XIPP-8369;bugfix/XIPP-8374_dev","",PARCIAL
avus-doodba-14,main,yes,yes,no,"14.0-AV-3825-REPROCESSAMENTO-NEW;14.0-AV-3825-xipp_nfse_reprocess;14.0-IMP-AV-4000-CNPJ-NEW;14.0-IMP-AV-4000-CNPJ-NEW-DEV;14.0-IMP-AV-4069;14.0-IMP-AVUS-4000-CNPJ-ALFA-PROD;14.0-addons-l10n_br_nfse_barueri;14.0-avus-barueri-XIPP-15079;14.0-commit-barueri;14.0-commit-main-barueri;14.0-deploy-barueri-main;14.0-fix-XIPP-15079-barueri;14.0-fix-barueri-XIPP-15079;14.0-fix-commit-document_status;14.0-fix-develop-discriminacao-servico;14.0-fix-discrimina-avus-2;14.0-fix-document_status-validade;14.0-fix-fiscal_line_ids-dev;14.0-fix-razao-social-acento;14.0-fix-repos-impostos-retidos;14.0-imp-deploy-seg;14.0-prod-deploy-barueri-fiscal_line_ids;14.0-ref-commit-deploy-avus-barueri;19033-2;AV-3169-develop;AV-3169-stg;AV-3169;AV-3172-2;AV-3172-STG;AV-3192","",PARCIAL
xipp-charts,main,yes,yes,yes,"feat/allow-ide;feat/maintenance-page;feat/probes-ratelimit-pin;fix/ide-ingress-rewrite;fix/ide-trailing-slash;fix/maintenance-logo-data-uri;fix/ratelimit-ingress-body-size;fix/readiness-tcp-v14;gh-pages;main","github-pages",PARCIAL
rpa-procedure-collector-bradesco,main,yes,yes,yes,"feat/XIPP-19702;feat/XIPP-21098;main;prd;stg","PRD;STG",PARCIAL
survey-service,main,yes,yes,yes,"chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12682;feat/XIPP-13583;feat/XIPP-16162-stage;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19130;feat/XIPP-19391;feat/XIPP-20078;feature/XIPP-9670;feature/XIPP-9851;feature/XIPP-remove-commons-dependency;java_memory_heap;key-vault;key-vault-dev;key-vault-stage;main;main-avus;preprod;release/v2.74.1;release/v2.75.0;release/v2.78.0;release/v2.79.0;release/v2.80.0;snyk-fix-c33abc6c26249a924f73190073914795","",PARCIAL
insurancepricing-service,main,yes,yes,yes,"bug/XIPP-17217;bugfix/XIPP-9976;bugfix/XIPP-11196;bugfix/XIPP-12849;bugfix/XIPP-14600;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;chore/XIPP-19758;develop_old;develop_with_main;develop;epic/XIPP-11239-develop;epic/XIPP-11239-stage;epic/XIPP-11239;feat/XIPP-13583;feat/XIPP-14470;feat/XIPP-14716;feat/XIPP-14872;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18251;feat/XIPP-20078;feat/main_to_develop;feature/XIPP-9282;feature/XIPP-9366;feature/XIPP-9851;feature/XIPP-9886;feature/XIPP-12675-no-commons;feature/XIPP-12675","",PARCIAL
socialnetwork-service,main,yes,yes,yes,"bugfix/XIPP-8530;bugfix/XIPP-12346;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop_with_main;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/AV-2761-develop;feat/AV-2761-stage;feat/AV-2761;feat/RTH-3363;feat/XIPP-12683;feat/XIPP-13414-devin;feat/XIPP-13583;feat/XIPP-13895-dev;feat/XIPP-13895-stg;feat/XIPP-13895;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18470;feat/XIPP-19130;feat/XIPP-19391;feat/XIPP-19848;feat/XIPP-20078;feat/XIPP-20080;feat/XIPP-20820;feat/epic-RTH-3302-develop;feat/epic-RTH-3302-stage","",PARCIAL
report-service,main,yes,yes,yes,"chore/XIPP-18104;chore/XIPP-19341;develop;feat/XIPP-13583;feat/XIPP-16162;feat/XIPP-20078;feature/XIPP-9670;feature/XIPP-9851;fix/XIPP-16162;main;main-avus;preprod;snyk-fix-0e90225bae620a10b438a0a9e7b24f41;snyk-upgrade-9f0735af49513d58b7b8fb9d3626e5eb;snyk-upgrade-42a1c19bb8f5e33020a12e3b6f3e65c7;snyk-upgrade-62c853c4648ead2acc103707069f7999;snyk-upgrade-da374e450fc65f864661701826e8f08e;snyk-upgrade-dbcbb25ac941fa79bcc2d11d340d4cfb;stage;uat","",PARCIAL
maioridade-worker,main,yes,yes,yes,"develop;epic/XIPP-2671;feat/XIPP-13400;feat/XIPP-14087;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19391;fix/XIPP-14684;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.76.0;release/v2.80.2;stage;uat","",PARCIAL
healthcare-service,main,yes,yes,yes,"aaa;bugfix/XIPP-8260;bugfix/XIPP-8738;bugfix/XIPP-9037;bugfix/XIPP-9195;bugfix/XIPP-12633;chore/XIPP-18104;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-11242-develop;epic/XIPP-11242;feat/XIPP-12685;feat/XIPP-13418;feat/XIPP-13583;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-20078;feature/XIPP-8503;feature/XIPP-9670;feature/XIPP-9851;feature/XIPP-security-bola-fix;fix/XIPP-14469;fix/XIPP-19559;fix/develop_merge_main;fix/stage_merge_main;java_memory_heap;key-vault;key-vault-dev","",PARCIAL
