repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance
movement-api,main,yes,yes,yes,"actions_cache_changed_to_v4;bugfix/XIPP-15595;bugfix/XIPP-15944;develop_temp;develop_temp2;develop;epic/XIPP-2671;feat/XIPP-12197_dev;feat/XIPP-12197;feat/XIPP-13546;feat/XIPP-16037;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18286;feat/XIPP-18495;feat/XIPP-18576;feat/XIPP-19215;feat/XIPP-19391;feat/XIPP-19804-2.84.0;feat/XIPP-19804-merge-develop;feat/XIPP-19804-merge-stage;feat/XIPP-19804;feat/XIPP-20078;feat/XIPP-20874;feature/MOVEMENT-V1;feature/MOVEMENT-V2;feature/XIPP-10478;feature/XIPP-10734;feature/XIPP-11550_unit_tests;feature/XIPP-12542","develop",PARCIAL
rpa-service,main,yes,yes,yes,"develop;feature/xipp-19248;main;preprod;stage;uat","Development;PreProd;Production;Stage;UAT",PARCIAL
xipptech-ai-engine,develop,no,yes,no,"develop","",NAO_CONFORME
app-manager,main,yes,yes,yes,"XIPP-20725;develop;feat/XIPP-10803;feat/XIPP-10829;feat/XIPP-10832;feat/XIPP-10853;feat/XIPP-11162;feat/XIPP-11166;feat/XIPP-12153;feat/XIPP-12369;feat/XIPP-12494;feat/XIPP-12532;feat/XIPP-13855;feat/XIPP-13889;feat/XIPP-13890;feat/XIPP-13899;feat/XIPP-13944;feat/XIPP-13958-dev;feat/XIPP-13958;feat/XIPP-14001;feat/XIPP-14002;feat/XIPP-14186;feat/XIPP-14187;feat/XIPP-14254;feat/XIPP-14297;feat/XIPP-15415;feat/XIPP-15476;feat/XIPP-15909;feat/XIPP-16560;feat/XIPP-16645-dev","Develop;Production",PARCIAL
mis-builder,18.0,no,yes,no,"17.0-mig;17.0-mig-mis_builder_budget;17.0-mig-mis_builder_demo;17.0-mig-mis_builder;18.0;backup-18.0-20260406;fix/1-122","",NAO_CONFORME
online-admission-service,main,yes,yes,no,"develop;main","",PARCIAL
rest-framework,18.0,no,yes,no,"17.0-mig;17.0-mig-datamodel;18.0;backup-18.0-20260406","",NAO_CONFORME
euprotegido-bff-service,main,yes,yes,no,"main","",PARCIAL
doodoo,main,yes,yes,no,"develop;main","",PARCIAL
nifi-financial-groovy-scripts,main,yes,yes,no,"bugfix/xipp-14183;feat/XIPP-20480;fix/XIPP-19468;fix/XIPP-20737;main;snyk-upgrade-607cc3875109266637d6d58e52946d8b;snyk-upgrade-41116357d6540ef55080c0242babeb0f;snyk-upgrade-b6019ecc070c9f653955cbb6a26620ec;snyk-upgrade-d0a3569b59bb0b11422818c1060f955d","",PARCIAL
bff-servicos,main,yes,yes,yes,"chore/logging;develop;epic/XIPP-2671;feat/XIPP-13400;feat/XIPP-13515;feat/XIPP-13682;feat/XIPP-14085;feat/XIPP-14087;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19391;feature/XIPP-16270;fix/XIPP-14684;fix/XIPP-16187;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.79.0;release/v2.80.0;release/2.71.0;revert-48-feat/XIPP-14087;revert-49-revert-48-feat/XIPP-14087;stage;uat","",PARCIAL
nifi-flow-repo,main,yes,yes,yes,"main","",PARCIAL
rhprotegido-frontend,main,yes,yes,yes,"IT/XIPP-12364;IT/XIPP-12420;IT/XIPP-12508;IT/XIPP-12533;IT/XIPP-12597;RH-2.10.13;add-token-GH_PAT;bugfix/XIPP-8280;bugfix/XIPP-9913;bugfix/XIPP-16858;bugfix/XIPP-17026-develop;bugfix/XIPP-17026;bugfix/XIPP-18053;bugfix/XIPP-18098;develop;epic/XIPP-7711;epic/XIPP-8753-dev;epic/XIPP-8753-stg;epic/XIPP-8753;feat/XIPP-8269-main;feat/XIPP-11023;feat/XIPP-11036;feat/XIPP-11040;feat/XIPP-11053;feat/XIPP-11081;feat/XIPP-11110;feat/XIPP-11113;feat/XIPP-12388;feat/XIPP-12904;feat/XIPP-12910","",PARCIAL
rpa-operation-bradesco-webtran-monthly,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-14265;feat/XIPP-15614;feat/XIPP-18022;fix/XIPP-16111;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME
euprotegido,main,yes,yes,yes,"bugfix/XIPP-8530;devin/1746806176-financial-group-ticket-type;devin/1746808292-conditional-atendimento-button;devin/1747147820-restrict-atendimento-functionality;feat/XIPP-11201-login-as;feat/XIPP-12029;feat/XIPP-12124;feat/XIPP-12127;feat/XIPP-12129;feat/XIPP-12191;feat/XIPP-12193;feat/XIPP-12224-aux;feat/XIPP-12224;feat/XIPP-12324;feat/XIPP-12448;feat/XIPP-12459;feat/XIPP-12507;feat/XIPP-12522;feat/XIPP-12608;feat/XIPP-12633;feat/XIPP-13571;feat/XIPP-13741;feat/XIPP-13886;feat/XIPP-14268;feat/XIPP-14271;feat/XIPP-14272;feat/XIPP-14310;feat/XIPP-14311;feat/XIPP-14332;feat/XIPP-14344","",PARCIAL
mrh360-pipelines,main,yes,yes,no,"main","",PARCIAL
mrh360-flex-frontend,main,yes,yes,no,"main","",PARCIAL
mrh360-flex-banking-app-backend,main,yes,yes,no,"2360/DesbloquearCartoes;feature/controle-financeiro;feature/dashboard-extrato;feature/4244,LerQrCodeCartao;features/2281.CadastroEmpresa;features/2362.SolicitarCartoes;features/2372.ModuloCartoes;features/4251.CriarAlterarSenhaCartao;main;task/2626.ImplementingRepository;tasks/2357.VincularCartoes;tasks/2361.ConsultarCartoesEmpresa;tasks/2373.IntegracaoProvedorFinanceiro;tasks/3882.ImplementingRabbitMQ;tasks/3928.GenerateQrCode;tasks/4141.DecodificarPix;tasks/4170.EnvioEmpresaProvedorFinanceiro","",PARCIAL
config-xipp,main,yes,yes,yes,"ROTINAS-develop;bugfix/XIPP-7707_develop;bugfix/XIPP-7707_stage;bugfix/XIPP-7707;bugfix/XIPP-13496;chore/XIPP-12283;chore/XIPP-15679;chore/java-upgrade;develop;devin/1746544720-update-security-service-config;epic/XIPP-2671-PREPROD;epic/XIPP-2671;epic/XIPP-11239-develop;epic/XIPP-11239-stage;epic/XIPP-11239;epic-2671-stg;feat/XIPP-12331-dev;feat/XIPP-12331-preprod;feat/XIPP-12331-stg;feat/XIPP-12331;feat/XIPP-13106;feat/XIPP-13583;feat/XIPP-14438-preprod;feat/XIPP-14438-stage;feat/XIPP-14438;feat/XIPP-15972;feat/XIPP-16162;feat/XIPP-16627-uat;feat/XIPP-16646-develop;feat/XIPP-16646","DEV;PRD;PREPRD;STG",PARCIAL
payroll-service,main,yes,yes,yes,"XIPP-6596---Integração-Sinergy;XIPP-7208---arquitetura-projeto;bugfix/XIPP-8656;bugfix/XIPP-14072;bugfix/XIPP-14709;bugfix/XIPP-17850;chore/XIPP-19758;develop;develop-old;feat/XIPP-12674-develop;feat/XIPP-12674-stage;feat/XIPP-12674;feat/XIPP-12884-develop;feat/XIPP-13583;feat/XIPP-15783;feat/XIPP-15784;feat/XIPP-16032;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19391;feat/XIPP-20078;feat/XIPP-20505;feature/Sinergy-fix;feature/Sinergy-fix-main;feature/Sinergy-stg;feature/XIPP-6931;feature/XIPP-7633;feature/XIPP-7687---mocimentação;feature/XIPP-8819;feature/XIPP-9851","",PARCIAL
rpa-operation-seguros-unimed-invoice-coparticipation,prd,no,yes,no,"bugfix/XIPP-14798;detached;dev;feat/XIPP-13703;feat/XIPP-15451;feat/XIPP-17823;feat/XIPP-18118;feat/XIPP-19984;feature/XIPP-13703-devin;feature/XIPP-13703;fix/XIPP-15451;hotfix/XIPP-14790-black-fix;hotfix/XIPP-14790;prd;stg","PRD;STG",NAO_CONFORME
rhfarma,main,yes,yes,no,"feat/AV-2525;feat/AV-2526;feat/AV-2527;feat/AV-4063;feat/XIPP-12152;feat/XIPP-12411;feat/XIPP-12475;feat/XIPP-12528;feat/XIPP-13889;feat/XIPP-13899;feat/XIPP-13972;feat/XIPP-13983;feature/AVF-1507;feature/AVF-1508;feature/AVF-1510;feature/AVF-1511;fix/AVF-1513;main;origin/feature/AFV-1192;origin/feature/AVF-1186;origin/feature/AVF-1189;origin/feature/AVF-1191;origin/feature/AVF-1193;origin/feature/AVF-1195;origin/feature/AVF-1198;origin/feature/AVF-1199;origin/feature/AVF-1200;origin/feature/AVF-1490;origin/main","",PARCIAL
flutter-commons-widgets,main,yes,yes,yes,"feat/AV-2541;feat/AV-2544;feat/AV-2577;feat/AV-2923;feat/AV-4063;feat/RTH-2854;feat/RTH-3310;feat/RTH-3322;feat/RTH-3337;feat/RTH-3339;feat/RTH-3353;feat/RTH-3355;feat/RTH-3362;feat/RTH-3366;feat/RTH-3376;feat/XIPP-10853;feat/XIPP-11166;feat/XIPP-11189;feat/XIPP-11259;feat/XIPP-12475;feat/XIPP-12518;feat/XIPP-12532;feat/XIPP-12553;feat/XIPP-12638;feat/XIPP-13472;feat/XIPP-13858;feat/XIPP-13861;feat/XIPP-13889;feat/XIPP-13890;feat/XIPP-13899","",PARCIAL
external-systems-status-service,main,yes,yes,yes,"antonio-prospero-xipptech-patch-1;chore/preprod;develop;feat/XIPP-19776;main;preprod;release/v2.82.0;stage","DEV;PREPROD;PRODUÇÃO;STG;UAT",PARCIAL
web,18.0,no,yes,no,"17.0-mig;18.0;backup-18.0-20260406;fix/validator-20260320-web;task/XIPP-19351","",NAO_CONFORME
server-ux,18.0,no,yes,no,"17.0-mig;17.0-mig-date_range_account;17.0-mig-date_range;18.0-data-range-pt-BR-translation;18.0;backup-18.0-20260406","",NAO_CONFORME
rhprotegido.app,main,yes,yes,no,"develop;feat/RTH-3310;feat/RTH-3322;feat/RTH-3326;feat/RTH-3337;feat/RTH-3339;feat/RTH-3341;feat/RTH-3353;feat/RTH-3355;feat/RTH-3362;feat/RTH-3366;feat/RTH-3376;feat/RTH-3379;feat/RTH-3381;feat/RTH-3387;feat/RTH-3394;feat/RTH-3405;feat/RTH-3410;feat/RTH-3454;feat/RTH-3456;feat/XIPP-12532;feat/XIPP-13890;feat/XIPP-13899;feat/XIPP-13953;feat/XIPP-13964;feat/XIPP-13968;feat/XIPP-14002;feature/RTH-2854;feature/XIPP-init-project;fix/theme","Production",PARCIAL
account-financial-reporting,18.0,no,yes,no,"17.0-mig;17.0-mig-mis_builder_cash_flow;18.0;backup-18.0-20260406;fix/translate_v2;fix/translate","",NAO_CONFORME
rabbitmq,develop,no,yes,no,"develop;edit-pipeline;hostname-container;revert-1-edit-pipeline;stage","DEVELOP",NAO_CONFORME
meurh360-beneflex,app-hm,no,yes,no,"app-hm;app-prd;fix/mrh-590-estacionamento","",NAO_CONFORME
mis-builder-contrib,18.0,no,yes,no,"18.0-add-mis_builder_bi_sql_editor;18.0;feat/mis_builder_bi_sql_editor","",NAO_CONFORME
driveconfig-frontend,main,yes,yes,yes,"develop;feat/AV-19535-stg;feat/XIPP-13426;feat/XIPP-16730;feat/XIPP-16766;feat/XIPP-19535-dev;feat/XIPP-19535-stg;feat/XIPP-19535;main;master;origin/devops;origin/feature/AR-31;origin/hotfix/1.3.1.1;origin/master;origin/release/1.2.0;origin/release/1.3.0;origin/release/1.3.1;origin/release/1.3.2;origin/release/1.3.3;origin/release/1.3.4;origin/release/1.3.5;pacote-release1.6.0;pacote-release/1.7.0;preprod;snyk-fix-0e86c537ce61e0d206d02568af2185b3;snyk-fix-475c9e6c2ef1a4c0596909063a924d65;snyk-fix-dee95ffe2632d5bee43358cf5ff1030a;spike/XIPP-13980-vue2;stage;uat","",PARCIAL
drive-fronted,main,yes,yes,yes,"develop;epic/XIPP-8753-dev;epic/XIPP-8753-stage;epic/XIPP-8753;feat/XIPP-13426;feat/XIPP-16641;feat/XIPP-16730;feat/XIPP-17808;feat/XIPP-19535-dev;feat/XIPP-19535-stg;feat/XIPP-19535-uat;feat/XIPP-19535;feature/XIPP-11053;feature/XIPP-13726-stg;feature/XIPP-13726;fix/XIPP-12612;fix/XIPP-14618-dev;fix/XIPP-14618-pre;fix/XIPP-14618-stg;fix/XIPP-14618;fix/XIPP-17377-dev;fix/XIPP-17377-stg;fix/XIPP-17377;main;master;origin/bugfix/download;origin/drive-integracao;origin/hotfix/1.2.1.1;origin/master;origin/master-odoo","",PARCIAL
mrh360-app,main,yes,yes,no,"MRH-29-app-parametrizar-via-api-a-exibicao-dos-botoes-de-marcacoes;MRH-104-viusalizacao-do-resultado-da-avaliacao-de-desempenho-no-app;MRH-135-and-MRH-29-app-ponto-digital;MRH-301-app-resultado-avaliacao-colaborador;MRH-317-app-integracao-para-buscar-dados-dos-graficos;MRH-318-app-construcao-do-grafico-aranha;MRH-319-app-carregar-os-graficos-aranha-e-9-box-em-tela;MRH-320-app-construcao-do-grafico-9-box;MRH-327-app-avaliacoes;MRH-566;XIPP-18851-app-crop-da-self-nao-funciona;XIPP-18934-app-perfil-do-colaborador;authorization_refactoring;base_refactoring;block_card_functions;bug/MRH-252-app-alteracao-de-dados-pessoais-e-bancarios-falha-na-restricao-de-datas-futuras-e-limite-retroativo-de-nascimento;bug/MRH-280-validador-data;bug/personal-data;bugfix/clock-record-selfie-location-loss-after-logout;bugfix/document-upload-multiple-issues;bugfix/edit-timesheet-validation-rules;card_configuration;chore/sync-main-into-develop-1.2.0;dashboard_integration;dashboardflex+;develop;error_mobile_scanner;feature/MRH-104;feature/MRH-280-app-ponto-ajustar-exibicao-do-espelho-de-ponto;feature/app-dependent-create-update","",PARCIAL
mrh360-devops-templates,main,yes,yes,no,"main","",PARCIAL
mrh360-backend-certisign-integration,main,yes,yes,no,"main","",PARCIAL
financial-service,main,yes,yes,yes,"chore/XIPP-18419;dev/test;develop;feat/XIPP-12268;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-19391;feat/XIPP-20078;feat/xipp-12089;feature/XIPP-16270;fix/remove-key-vault-credentials;main;release/v2.79.0;release/v2.80.0;stage;test/elastic","DEV;PRD;PREPRD;STG;UAT",PARCIAL
rules-service,main,yes,yes,yes,"actions_cache_changed_to_v4;develop;feat/XIPP-12223;feat/XIPP-13583;feat/XIPP-16036;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18495;feat/XIPP-18576;feat/XIPP-19391;feat/XIPP-20078;feature/MOVEMENT-V1;feature/MOVEMENT-V2;feature/XIPP-12563;feature/XIPP-15879;feature/XIPP-16028;feature/XIPP-16040;feature/XIPP-16238;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.78.0;release/v2.79.0;release/v2.80.0;release/2.72.0;snyk-fix-1e84e0a28cca603ce54804c425f7a071;snyk-fix-f228c342a217442104aa8492cf30e16d;stage;uat","",PARCIAL
invoice-service,main,no,yes,yes,"bugfix/XIPP-13641;bugfix/XIPP-13843;bugfix/XIPP-13864;bugfix/XIPP-13945;bugfix/XIPP-14879;develop;feat/XIPP-13583;feat/XIPP-16034;feat/XIPP-16162;feat/XIPP-17288;feat/XIPP-17326;feat/XIPP-18058;feat/XIPP-19354;feat/XIPP-19355;feat/XIPP-19391;feat/XIPP-20078;feature/XIPP-12787;feature/XIPP-14134;feature/XIPP-14135-compl;feature/XIPP-14135-fix;feature/XIPP-14135;feature/XIPP-14136-ajuste;feature/XIPP-14136;feature/XIPP-14494-fix;feature/XIPP-14494;feature/XIPP-14667-fix;feature/XIPP-14667-it;feature/XIPP-14667-it2;feature/XIPP-14667;feature/XIPP-15091","",PARCIAL
integrator-service,main,yes,yes,yes,"bugfix/XIPP-17934;develop;devin/1752665970-cucumber-integration-tests;feat/XIPP-12026;feat/XIPP-14283;feat/XIPP-16162;feat/XIPP-18058;feat/XIPP-18982;feat/XIPP-20078;feature/XIPP-18983;feature/XIPP-18984;fix/XIPP-15926;fix/XIPP-16427;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.75.1;release/v2.76.0;release/v2.79.0;stage;uat","",PARCIAL
ee-addons,17.0,no,yes,no,"17.0;18.0","",NAO_CONFORME
rpa-operation-bradesco-webtran-daily,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-14265;feat/XIPP-14506;feat/XIPP-14607;feat/XIPP-18022;feat/XIPP-19429;feat/XIPP-20502;feat/xipp-15116;feature/XIPP-15116-stg;fix/XIPP-15111;hotfix/XIPP-14790;hotfix_folder_name;prd;stg","PRD;STG",NAO_CONFORME
rpa-operation-odontoprev-invoice-coparticipation,dev,yes,yes,yes,"dev;devin/1772722679-fix-rpa-bugs-and-refactor;devin/1772727958-inline-ticket-error-handling;feat/XIPP-15008;feat/XIPP-15173;feat/XIPP-15908;feat/XIPP-16451;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17815-stg;feat/XIPP-17815;feat/XIPP-17915;feat/XIPP-18094;feat/XIPP-18403;feat/XIPP-19674;feature/XIPP-16141;main;prd;stg","PRD;STG",NAO_CONFORME
account-frontend,main,yes,yes,yes,"develop;diegooliveiraf-patch-1;feat/XIPP-12226-develop;feat/XIPP-12226-stage;feat/XIPP-12226;feat/XIPP-13426;feat/XIPP-16730;feat/XIPP-19535-dev;feat/XIPP-19535-stg;feat/XIPP-19535;feat/XIPP-19536;feature/XIPP-8232;feature/XIPP-9501;fix/XIPP-13308;fix/XIPP-13767;function/XIPP-9068;main;master;origin/bugfix/XIPP-5087;origin/devops;origin/feature/AC69;origin/feature/AC-75;origin/feature/AR-31;origin/feature/XIPP-4881;origin/feature/XIPP-5881;origin/hotfix/1.9.3.2;origin/master;origin/master-odoo;origin/release/1.3.3;origin/release/1.3.4","",PARCIAL
reporting-engine,18.0,no,yes,no,"17.0-mig;17.0-mig-bi_view_editor;17.0-mig-report_xlsx_helper;17.0-mig-sql_request_abstract;17.0-mig-step-1;17.0-upd-bi_sql_editor;17.0-upd-report_xlsx_helper;18.0;backup-18.0-20260406;fix/view_list_sergio;task/XIPP-19351","",NAO_CONFORME
rpa-operation-sulamerica-cadastral-position,prd,no,yes,no,"bugfix/XIPP-14798;dev;feat/XIPP-15115;feat/XIPP-16701;feat/XIPP-19674;fix/XIPP-15111;hotfix/XIPP-14790;prd;snyk-fix-2d166460e06538b51b8b19c85f5bb9d6;snyk-fix-16b0eb2fccb9e0c97efa4a00a3f28873;snyk-fix-21d0e9fd42813fa547fbf70f02d3d6e5;snyk-fix-36b17b400431b3c79a15174d8cc03bef;snyk-fix-431f203892222388ed85a5da8c263181;snyk-fix-839242f85acb5507e8d66590059f6571;snyk-fix-fafba1fcc20e8da761e7b42f1e2f05af;stg","PRD;STG",NAO_CONFORME
xipptech-skills,main,yes,yes,yes,"main","",PARCIAL
code-review-instructions,main,yes,yes,yes,"feat/XIPP-16411;feat/XIPP-16730;feature/XIPP-16270;main","",PARCIAL
